1	Stefano Chiesa
(zeulb)	6
11:34	2
0:26	9
5:13	1
1:02	1
1:37	2
1:01	1
2:13	3
4:39	0
0:00
2	Nathan Azaria
(nathanajah)	6
19:42	1
2:03	3
3:34	1
2:39	3
3:58	5
3:49	1
3:37	0
0:00	0
0:00
3	T.T
(TryhardDoto)	4
7:53	2
0:24	7
4:40	1
1:41	0
0:00	3
1:07	0
0:00	1
3:49	0
0:00
4	Fariskhi Vidyan
(FVD)	4
9:10	2
2:28	1
3:28	1
0:35	0
0:00	4
2:38	0
0:00	0
0:00	0
0:00
5	Wira Abdillah
(wirabdillah)	3
3:22	1
0:08	3
1:27	3
4:38	0
0:00	3
1:47	0
0:00	0
0:00	0
0:00
6	Copcolicop
(M_Ayaz)	3
6:22	1
1:15	0
0:00	1
3:09	0
0:00	2
1:56	0
0:00	2
2:48	0
0:00
7	Kevin Luvian
(senaidert)	3
6:57	10
3:25	2
1:21	0
0:00	0
0:00	3
2:10	0
0:00	0
0:00	0
0:00
8	Wiwit Rifai
(gowatgowit)	3
9:15	5
2:12	0
0:00	1
2:29	0
0:00	5
4:33	0
0:00	0
0:00	0
0:00
9	Ahmad Zaky
(azaky)	2
2:37	1
0:05	0
0:00	1
0:42	3
1:55	0
0:00	0
0:00	0
0:00	4
4:45
10	Josua Aditya Mustiko
(AdityaMustiko)	2
5:29	3
1:10	5
4:18	0
0:00	0
0:00	1
3:35	0
0:00	1
0:57	0
0:00
11	Nicholas Thie
(leecopper15)	2
6:21	5
3:17	2
3:04	3
4:18	0
0:00	0
0:00	0
0:00	0
0:00	0
0:00
12	primo
(ITBSPC3_067)	2
10:05	10
5:46	3
4:18	0
0:00	0
0:00	0
0:00	0
0:00	0
0:00	0
0:00
13	koyek
(irfanafif)	1
0:30	2
0:30	7
5:22	0
0:00	0
0:00	0
0:00	0
0:00	0
0:00	0
0:00
14	Salsabila Nadhifah
(sarasalsan)	1
0:37	2
0:37	0
0:00	0
0:00	0
0:00	1
2:34	0
0:00	0
0:00	0
0:00
15	Afrizal Fikri
(rizal_996)	1
0:57	3
0:57	0
0:00	4
3:55	0
0:00	0
0:00	0
0:00	0
0:00	0
0:00
16	Andi
(andikh)	1
1:02	2
1:02	0
0:00	0
0:00	0
0:00	4
2:41	0
0:00	0
0:00	0
0:00
17	Ragil Al Badrun
(blank217)	1
2:08	5
2:08	0
0:00	0
0:00	0
0:00	2
2:53	0
0:00	0
0:00	0
0:00
18	Luqman Arifin
(kadalbonek)	1
2:12	4
2:12	0
0:00	0
0:00	0
0:00	3
3:31	0
0:00	0
0:00	0
0:00
19	Tjandra Satria Gunawan
(tjandra)	1
2:50	0
0:00	0
0:00	0
0:00	0
0:00	0
0:00	0
0:00	0
0:00	1
2:50
20	youknowho21
(joker)	1
2:52	7
2:52	0
0:00	0
0:00	0
0:00	3
4:10	0
0:00	0
0:00	0
0:00
21	Caesar Stefanus
(csts)	1
3:05	6
3:05	0
0:00	6
5:24	0
0:00	0
0:00	0
0:00	0
0:00	0
0:00
22	Hierony Manurung
(manurung)	1
3:07	2
3:07	4
4:57	0
0:00	0
0:00	0
0:00	0
0:00	0
0:00	0
0:00
23	saeful ramadhan
(ipul23)	1
3:07	5
3:07	6
5:08	0
0:00	0
0:00	0
0:00	0
0:00	0
0:00	0
0:00
24	LoL
(Shiro_Senasaki)	1
3:11	6
3:11	0
0:00	0
0:00	0
0:00	0
0:00	0
0:00	0
0:00	0
0:00
25	Rian Adam Rajagede
(malioboro)	1
3:24	6
3:24	6
5:20	0
0:00	0
0:00	5
4:45	0
0:00	0
0:00	0
0:00
26	Alva Thomson
(Alva9696)	1
4:18	3
4:18	0
0:00	0
0:00	0
0:00	0
0:00	0
0:00	0
0:00	0
0:00
27	Bernard
(Delero)	1
4:35	7
4:35	0
0:00	1
2:15	0
0:00	0
0:00	0
0:00	0
0:00	0
0:00
28	Ryan Eka Cahaya
(ry4nek4)	1
4:37	8
4:37	0
0:00	0
0:00	0
0:00	0
0:00	0
0:00	0
0:00	0
0:00
29	Jauhar Arifin
(jauhararifin)	1
5:46	15
5:46	4
3:23	0
0:00	0
0:00	3
2:57	0
0:00	0
0:00	0
0:00
30	Rohmat Setiawan
(rohmatmamat)	1
5:58	7
5:58	0
0:00	0
0:00	0
0:00	2
3:35	0
0:00	0
0:00	1
3:11
